Label,URL,Picture
YouTube,https://www.youtube.com,Youtube.jpg
Pstream,https://pstream.org/,PStream.jpeg
Miruro Anima,https://www.miruro.tv,miruro-tv-icon.jpg
Pandora,https://www.pandora.com,pandora.png
Shangri-La Frontier,https://www.crunchyroll.com/series/G79H23Z8P/shangri-la-frontier,ShangriLaFrontier.png
Solo Levelling,https://www.crunchyroll.com/series/GDKHZEJ0K/solo-leveling,SoloLeveling.webp
Demon Slayer,https://www.crunchyroll.com/series/GY5P48XEY/demon-slayer-kimetsu-no-yaiba?srsltid=AfmBOoqt8gh7y_FZv2IkKBba9pTdA26VzePJukANMW2uAR_fGGVYSlk7,DemonSlayer.jpg
Hulu,https://www.hulu.com/welcome,hulu.jpg
Sid the Scientist,https://pbskids.org/sid,Sid.jpg
Daniel Tiger,https://pbskids.org/daniel/,DanielTiger.jpg
PBS Kids Videos,https://pbskids.org/videos,PBS-Kids-Video.png
PBS Kids Games,https://pbskids.org/games,PBS_Kids_Games.png
